gisjoin,state,county,year,birth_place_diversity,source_note
G0100010,Alabama,Autauga,1870,0.5817376211607481,full native-state + foreign-country
G0100015,Alabama,Baker,1870,0.5757211508672372,full native-state + foreign-country
G0100030,Alabama,Baldwin,1870,0.587530048002852,full native-state + foreign-country
G0100050,Alabama,Barbour,1870,0.6426496316651333,full native-state + foreign-country
G0100070,Alabama,Bibb,1870,0.5704338006691829,full native-state + foreign-country
G0100090,Alabama,Blount,1870,0.6374254369989412,full native-state + foreign-country
G0100110,Alabama,Bullock,1870,0.637556133144502,full native-state + foreign-country
G0100130,Alabama,Butler,1870,0.5922028418566189,full native-state + foreign-country
G0100150,Alabama,Calhoun,1870,0.662080337064491,full native-state + foreign-country
G0100170,Alabama,Chambers,1870,0.6649641376273978,full native-state + foreign-country
G0100190,Alabama,Cherokee,1870,0.7113298238622292,full native-state + foreign-country
G0100230,Alabama,Choctaw,1870,0.5888750560049656,full native-state + foreign-country
G0100250,Alabama,Clarke,1870,0.5634510425090948,full native-state + foreign-country
G0100270,Alabama,Clay,1870,0.6748019207143483,full native-state + foreign-country
G0100290,Alabama,Cleburne,1870,0.6940303099655356,full native-state + foreign-country
G0100310,Alabama,Coffee,1870,0.6200945455590727,full native-state + foreign-country
G0100330,Alabama,Colbert,1870,0.6141696476351106,full native-state + foreign-country
G0100350,Alabama,Conecuh,1870,0.5648072281896324,full native-state + foreign-country
G0100370,Alabama,Coosa,1870,0.6175786094260639,full native-state + foreign-country
G0100390,Alabama,Covington,1870,0.6314467805206603,full native-state + foreign-country
G0100410,Alabama,Crenshaw,1870,0.6107260799466742,full native-state + foreign-country
G0100450,Alabama,Dale,1870,0.638013521238398,full native-state + foreign-country
G0100470,Alabama,Dallas,1870,0.6000126747839916,full native-state + foreign-country
G0100490,Alabama,DeKalb,1870,0.6885368472122495,full native-state + foreign-country
G0100510,Alabama,Elmore,1870,0.6128962179755559,full native-state + foreign-country
G0100530,Alabama,Escambia,1870,0.5777743540625936,full native-state + foreign-country
G0100550,Alabama,Etowah,1870,0.6737385124374264,full native-state + foreign-country
G0100570,Alabama,Fayette,1870,0.6059787959651722,full native-state + foreign-country
G0100590,Alabama,Franklin,1870,0.5977273245680139,full native-state + foreign-country
G0100610,Alabama,Geneva,1870,0.6349268216580365,full native-state + foreign-country
G0100630,Alabama,Greene,1870,0.5801553996398959,full native-state + foreign-country
G0100650,Alabama,Hale,1870,0.6030062135472881,full native-state + foreign-country
G0100670,Alabama,Henry,1870,0.655647268294069,full native-state + foreign-country
G0100710,Alabama,Jackson,1870,0.6279313627770753,full native-state + foreign-country
G0100730,Alabama,Jefferson,1870,0.5851118195049032,full native-state + foreign-country
G0100770,Alabama,Lauderdale,1870,0.5949481013754645,full native-state + foreign-country
G0100790,Alabama,Lawrence,1870,0.5966784620340233,full native-state + foreign-country
G0100810,Alabama,Lee,1870,0.6631010606371892,full native-state + foreign-country
G0100830,Alabama,Limestone,1870,0.6073573751107455,full native-state + foreign-country
G0100850,Alabama,Lowndes,1870,0.6137032068962909,full native-state + foreign-country
