gisjoin,state,county,year,total_farms,farm_size_gini
G0100010,Alabama,Autauga,1860,730.0,0.5566041916331115
G0100030,Alabama,Baldwin,1860,188.0,0.6507874157599075
G0100050,Alabama,Barbour,1860,1529.0,0.5500052964210383
G0100070,Alabama,Bibb,1860,878.0,0.501866195778901
G0100090,Alabama,Blount,1860,711.0,0.4735773759628098
G0100130,Alabama,Butler,1860,1027.0,0.500655236227566
G0100150,Alabama,Calhoun,1860,1637.0,0.5223949887413808
G0100170,Alabama,Chambers,1860,1288.0,0.4623346950569322
G0100190,Alabama,Cherokee,1860,1285.0,0.4975795420328158
G0100230,Alabama,Choctaw,1860,821.0,0.519656514909977
G0100250,Alabama,Clarke,1860,901.0,0.5656218970834087
G0100310,Alabama,Coffee,1860,829.0,0.5084464438284428
G0100350,Alabama,Conecuh,1860,525.0,0.5666591078511856
G0100370,Alabama,Coosa,1860,1631.0,0.5404164596929171
G0100390,Alabama,Covington,1860,517.0,0.536130613764566
G0100450,Alabama,Dale,1860,1066.0,0.4919555364448291
G0100470,Alabama,Dallas,1860,711.0,0.4458705930114492
G0100490,Alabama,DeKalb,1860,895.0,0.5200761095133142
G0100570,Alabama,Fayette,1860,1189.0,0.4999793834281164
G0100590,Alabama,Franklin,1860,951.0,0.6285752569736718
G0100630,Alabama,Greene,1860,793.0,0.4210766902060562
G0100670,Alabama,Henry,1860,930.0,0.5299287199848962
G0100710,Alabama,Jackson,1860,1241.0,0.5419237215478958
G0100730,Alabama,Jefferson,1860,1065.0,0.5658638118683954
G0100770,Alabama,Lauderdale,1860,996.0,0.6207082609987004
G0100790,Alabama,Lawrence,1860,639.0,0.5979155734020881
G0100830,Alabama,Limestone,1860,672.0,0.560106339760132
G0100850,Alabama,Lowndes,1860,1033.0,0.5217633038713393
G0100870,Alabama,Macon,1860,776.0,0.3949537422741059
G0100890,Alabama,Madison,1860,915.0,0.5115788505062147
G0100910,Alabama,Marengo,1860,778.0,0.5092118199623774
G0100930,Alabama,Marion,1860,1127.0,0.5176597717698648
G0100950,Alabama,Marshall,1860,804.0,0.5757589627489366
G0100970,Alabama,Mobile,1860,368.0,0.5782973760277974
G0100990,Alabama,Monroe,1860,764.0,0.5310422034307298
G0101010,Alabama,Montgomery,1860,800.0,0.471047962380769
G0101030,Alabama,Morgan,1860,745.0,0.5685968147174504
G0101050,Alabama,Perry,1860,926.0,0.5071081373718453
G0101070,Alabama,Pickens,1860,1276.0,0.4863982864991234
G0101090,Alabama,Pike,1860,1682.0,0.489057629010549
G0101110,Alabama,Randolph,1860,2202.0,0.5182196371797305
G0101130,Alabama,Russell,1860,993.0,0.5400275377891934
G0101150,Alabama,St Clair,1860,1074.0,0.5149706197644768
G0101170,Alabama,Shelby,1860,762.0,0.5002437296181526
G0101190,Alabama,Sumter,1860,498.0,0.3839719939725807
G0101210,Alabama,Talladega,1860,1275.0,0.5498694113845655
G0101230,Alabama,Tallapoosa,1860,1943.0,0.5360407297248035
G0101250,Alabama,Tuscaloosa,1860,1496.0,0.5646501689625925
G0101270,Alabama,Walker,1860,833.0,0.4850789072748384
G0101290,Alabama,Washington,1860,725.0,0.4664734466540182
G0101310,Alabama,Wilcox,1860,285.0,0.6271383605258056
G0101330,Alabama,Winston,1860,339.0,0.4961252580669677
G0500010,Arkansas,Arkansas,1860,453.0,0.6365287218541141
G0500030,Arkansas,Ashley,1860,626.0,0.5351348052208751
G0500070,Arkansas,Benton,1860,927.0,0.5013202000453182
G0500110,Arkansas,Bradley,1860,773.0,0.56583760733074
G0500130,Arkansas,Calhoun,1860,302.0,0.5142914134047252
G0500150,Arkansas,Carroll,1860,975.0,0.4735191165507014
G0500170,Arkansas,Chicot,1860,198.0,0.4781963461316402
G0500190,Arkansas,Clark,1860,688.0,0.5348864267726876
G0500270,Arkansas,Columbia,1860,1205.0,0.5254240490707895
G0500290,Arkansas,Conway,1860,563.0,0.4687337934834908
G0500310,Arkansas,Craighead,1860,222.0,0.4243021495426955
G0500330,Arkansas,Crawford,1860,419.0,0.4298230750319358
G0500350,Arkansas,Crittenden,1860,202.0,0.553074490491229
G0500390,Arkansas,Dallas,1860,558.0,0.5479308800671572
G0500410,Arkansas,Desha,1860,295.0,0.6309982011173637
G0500430,Arkansas,Drew,1860,677.0,0.5415244994636028
G0500470,Arkansas,Franklin,1860,801.0,0.5466906153776894
G0500490,Arkansas,Fulton,1860,418.0,0.448150343750922
G0500550,Arkansas,Greene,1860,427.0,0.4636681722957543
G0500570,Arkansas,Hempstead,1860,773.0,0.5760105905830988
G0500590,Arkansas,Hot Spring,1860,658.0,0.4653986763273563
G0500630,Arkansas,Independence,1860,984.0,0.4652707691723086
G0500650,Arkansas,Izard,1860,696.0,0.5140912592353095
G0500670,Arkansas,Jackson,1860,965.0,0.6047192426303473
G0500690,Arkansas,Jefferson,1860,645.0,0.6311240419065306
G0500710,Arkansas,Johnson,1860,671.0,0.5133960141834427
G0500730,Arkansas,Lafayette,1860,477.0,0.6137356258691596
G0500750,Arkansas,Lawrence,1860,1065.0,0.4990962951492298
G0500870,Arkansas,Madison,1860,858.0,0.5056135378367818
G0500890,Arkansas,Marion,1860,525.0,0.4452125606242039
G0500930,Arkansas,Mississippi,1860,307.0,0.6330071575615723
G0500950,Arkansas,Monroe,1860,311.0,0.5999507564929443
G0500970,Arkansas,Montgomery,1860,525.0,0.5048846920823689
G0501010,Arkansas,Newton,1860,385.0,0.5050466257718524
G0501030,Arkansas,Ouachita,1860,984.0,0.5418243324369256
G0501050,Arkansas,Perry,1860,399.0,0.4541119476047398
G0501070,Arkansas,Phillips,1860,577.0,0.5667785458950143
G0501090,Arkansas,Pike,1860,265.0,0.4754839939258685
G0501110,Arkansas,Poinsett,1860,217.0,0.5618055384382322
G0501130,Arkansas,Polk,1860,480.0,0.4276579228628816
G0501150,Arkansas,Pope,1860,901.0,0.5103096237086489
G0501170,Arkansas,Prairie,1860,615.0,0.5444468955946452
G0501190,Arkansas,Pulaski,1860,655.0,0.6068853324040815
G0501210,Arkansas,Randolph,1860,497.0,0.5598503148536509
G0501230,Arkansas,St Francis,1860,589.0,0.5403062104923093
G0501250,Arkansas,Saline,1860,572.0,0.4809611990734892
G0501270,Arkansas,Scott,1860,566.0,0.502240028566245
G0501290,Arkansas,Searcy,1860,437.0,0.4752812788021004
G0501310,Arkansas,Sebastian,1860,650.0,0.5063408331026624
G0501330,Arkansas,Sevier,1860,794.0,0.5913812376939652
G0501390,Arkansas,Union,1860,560.0,0.4627782153845419
G0501410,Arkansas,Van Buren,1860,464.0,0.506701413140107
G0501430,Arkansas,Washington,1860,1133.0,0.4515464777117279
G0501450,Arkansas,White,1860,697.0,0.5284058976074959
G0501490,Arkansas,Yell,1860,564.0,0.5094689685092322
G0600010,California,Alameda,1860,658.0,0.451931487088766
G0600050,California,Amador,1860,392.0,0.5255124701553273
G0600070,California,Butte,1860,411.0,0.4744171781119094
G0600090,California,Calaveras,1860,358.0,0.5733928599850389
G0600110,California,Colusa,1860,232.0,0.4349885588122759
G0600130,California,Contra Costa,1860,447.0,0.4687399112182532
G0600150,California,Del Norte,1860,88.0,0.5275074306144376
G0600170,California,El Dorado,1860,484.0,0.5527484775734887
G0600190,California,Fresno,1860,85.0,0.6196548643438191
G0600230,California,Humboldt,1860,129.0,0.4545355692450251
G0600315,California,Klamath,1860,57.0,0.5820126117041875
G0600370,California,Los Angeles,1860,306.0,0.622021486959044
G0600410,California,Marin,1860,261.0,0.3720273508060298
G0600430,California,Mariposa,1860,112.0,0.6043236359055782
G0600450,California,Mendocino,1860,493.0,0.1402310678095889
G0600470,California,Merced,1860,132.0,0.3501081414304555
G0600530,California,Monterey,1860,222.0,0.5163656699548789
G0600550,California,Napa,1860,424.0,0.4366874634223479
G0600570,California,Nevada,1860,152.0,0.5520403094851467
G0600610,California,Placer,1860,254.0,0.4822266918202113
G0600630,California,Plumas,1860,204.0,0.2641902756442708
G0600670,California,Sacramento,1860,1223.0,0.3848893582774514
G0600710,California,San Bernardino,1860,97.0,0.5908793033849755
G0600730,California,San Diego,1860,78.0,0.5276332779929902
G0600750,California,San Francisco,1860,83.0,0.5765682563744312
G0600770,California,San Joaquin,1860,904.0,0.3384135485672503
G0600790,California,San Luis Obispo,1860,56.0,0.4709389309516253
G0600810,California,San Mateo,1860,304.0,0.6152687709578656
G0600830,California,Santa Barbara,1860,78.0,0.6492790602993401
G0600850,California,Santa Clara,1860,665.0,0.4439750553592214
G0600870,California,Santa Cruz,1860,215.0,0.4654311848722577
G0600890,California,Shasta,1860,218.0,0.5308490200982464
G0600910,California,Sierra,1860,39.0,0.3130547963035273
G0600930,California,Siskiyou,1860,297.0,0.3594647262331718
G0600950,California,Solano,1860,307.0,0.5059127646777325
G0600970,California,Sonoma,1860,756.0,0.3636469873745778
G0600990,California,Stanislaus,1860,208.0,0.3829242365674528
G0601010,California,Sutter,1860,549.0,0.4415079256025236
G0601030,California,Tehama,1860,188.0,0.4680082467425368
G0601050,California,Trinity,1860,86.0,0.5637998468312022
G0601070,California,Tulare,1860,469.0,0.5885933419451232
G0601090,California,Tuolumne,1860,245.0,0.614391882924946
G0601130,California,Yolo,1860,644.0,0.3740179761467793
G0601150,California,Yuba,1860,434.0,0.5587617960185661
G0900010,Connecticut,Fairfield,1860,4233.0,0.4947148728393944
G0900030,Connecticut,Hartford,1860,3984.0,0.5138081219918186
G0900050,Connecticut,Litchfield,1860,3637.0,0.4106102244280447
G0900070,Connecticut,Middlesex,1860,2140.0,0.5107560222115559
G0900090,Connecticut,New Haven,1860,3750.0,0.5218101485792186
G0900110,Connecticut,New London,1860,2853.0,0.4558918552437273
G0900130,Connecticut,Tolland,1860,1894.0,0.4505624852204241
G0900150,Connecticut,Windham,1860,2628.0,0.4231024334523173
G1000010,Delaware,Kent,1860,1948.0,0.3479214907642441
G1000030,Delaware,New Castle,1860,1689.0,0.3694508070263986
G1000050,Delaware,Sussex,1860,2971.0,0.4240032471626698
G1100010,District Of Columbia,District Of Columbia,1860,234.0,0.5854327121827411
G1200010,Florida,Alachua,1860,300.0,0.5195628749762263
G1200090,Florida,Brevard,1860,31.0,0.4223020711373088
G1200130,Florida,Calhoun,1860,63.0,0.4572401422795124
G1200190,Florida,Clay,1860,168.0,0.5855525040028464
G1200230,Florida,Columbia,1860,314.0,0.4957753077676086
G1200250,Florida,Dade,1860,0.0,
G1200310,Florida,Duval,1860,165.0,0.5575717957479682
G1200330,Florida,Escambia,1860,41.0,0.5178824879458039
G1200370,Florida,Franklin,1860,3.0,0.1596806387225549
G1200390,Florida,Gadsden,1860,357.0,0.4702560454840709
G1200470,Florida,Hamilton,1860,279.0,0.5177436536451053
G1200530,Florida,Hernando,1860,0.0,
G1200570,Florida,Hillsborough,1860,268.0,0.4707625222084776
G1200590,Florida,Holmes,1860,137.0,0.5275641379506841
G1200630,Florida,Jackson,1860,581.0,0.5995272531040601
G1200650,Florida,Jefferson,1860,324.0,0.5168371799497505
G1200670,Florida,Lafayette,1860,65.0,0.6164101932200016
G1200730,Florida,Leon,1860,319.0,0.485632683323798
G1200750,Florida,Levy,1860,64.0,0.5731151507689977
G1200770,Florida,Liberty,1860,96.0,0.5993225813563806
G1200790,Florida,Madison,1860,361.0,0.5460315788327957
G1200810,Florida,Manatee,1860,84.0,0.6978041656201454
G1200830,Florida,Marion,1860,408.0,0.5174105228930772
G1200870,Florida,Monroe,1860,7.0,0.3707052441229657
