gisjoin,state,county,year,total_farms,farms_reporting_fert,fert_expenditure_dollars,fert_tons_purchased,share_farms_reporting_fert,fert_exp_per_farm
G0100010,Alabama,Autauga,1910,3116.0,1956.0,129275.0,,0.6277278562259306,41.48748395378691
G0100030,Alabama,Baldwin,1910,1818.0,1325.0,82868.0,,0.7288228822882288,45.58195819581958
G0100050,Alabama,Barbour,1910,4606.0,3614.0,220715.0,,0.7846287451150673,47.9190186712983
G0100070,Alabama,Bibb,1910,2016.0,1482.0,47152.0,,0.7351190476190477,23.38888888888889
G0100090,Alabama,Blount,1910,3602.0,2869.0,77933.0,,0.7965019433647973,21.636035535813438
G0100110,Alabama,Bullock,1910,4726.0,2427.0,122746.0,,0.5135421074904782,25.972492594159966
G0100130,Alabama,Butler,1910,4211.0,3333.0,221863.0,,0.7914984564236524,52.68653526478271
G0100150,Alabama,Calhoun,1910,3381.0,2474.0,80686.0,,0.7317361727299615,23.864537119195504
G0100170,Alabama,Chambers,1910,5126.0,4514.0,248500.0,,0.8806086617245416,48.478345688646115
G0100190,Alabama,Cherokee,1910,3449.0,2702.0,87764.0,,0.7834154827486228,25.44621629457814
G0100210,Alabama,Chilton,1910,3313.0,2761.0,114258.0,,0.833383640205252,34.487775430123754
G0100230,Alabama,Choctaw,1910,3216.0,1400.0,53205.0,,0.43532338308457713,16.54384328358209
G0100250,Alabama,Clarke,1910,4919.0,2625.0,94267.0,,0.5336450498068713,19.16385444195975
G0100270,Alabama,Clay,1910,3459.0,2926.0,93060.0,,0.8459092223185892,26.903729401561144
G0100290,Alabama,Cleburne,1910,2238.0,1776.0,51702.0,,0.7935656836461126,23.10187667560322
G0100310,Alabama,Coffee,1910,3925.0,3263.0,284471.0,,0.8313375796178344,72.47668789808917
G0100330,Alabama,Colbert,1910,2641.0,909.0,23279.0,,0.34418780764861795,8.814464218099205
G0100350,Alabama,Conecuh,1910,3527.0,2908.0,139228.0,,0.8244967394386163,39.47490785370003
G0100370,Alabama,Coosa,1910,2858.0,2168.0,59363.0,,0.7585724282715185,20.77081875437369
G0100390,Alabama,Covington,1910,3333.0,2934.0,206517.0,,0.8802880288028803,61.96129612961296
G0100410,Alabama,Crenshaw,1910,3770.0,3267.0,241812.0,,0.86657824933687,64.14111405835544
G0100430,Alabama,Cullman,1910,4528.0,3677.0,122511.0,,0.8120583038869258,27.056316254416963
G0100450,Alabama,Dale,1910,3428.0,3066.0,216240.0,,0.8943990665110851,63.08051341890315
G0100470,Alabama,Dallas,1910,8182.0,2080.0,118977.0,,0.25421657296504524,14.54131019310682
G0100490,Alabama,DeKalb,1910,4932.0,4153.0,128493.0,,0.842051905920519,26.052919708029197
G0100510,Alabama,Elmore,1910,4033.0,3062.0,166665.0,,0.7592363005207042,41.3253161418299
G0100530,Alabama,Escambia,1910,1677.0,1273.0,75466.0,,0.7590936195587359,45.000596302921885
G0100550,Alabama,Etowah,1910,3068.0,2359.0,70586.0,,0.7689048239895697,23.00717079530639
G0100570,Alabama,Fayette,1910,2897.0,2030.0,53010.0,,0.700724887814981,18.29823955816362
G0100590,Alabama,Franklin,1910,2650.0,1915.0,48498.0,,0.7226415094339622,18.3011320754717
G0100610,Alabama,Geneva,1910,3365.0,2876.0,239803.0,,0.8546805349182763,71.26389301634472
G0100630,Alabama,Greene,1910,4099.0,1205.0,41202.0,,0.2939741400341547,10.051719931690656
G0100650,Alabama,Hale,1910,4510.0,1307.0,50827.0,,0.28980044345898004,11.269844789356984
G0100670,Alabama,Henry,1910,3419.0,2875.0,215157.0,,0.8408891488739397,62.92980403626792
G0100690,Alabama,Houston,1910,4301.0,3796.0,293316.0,,0.8825854452452918,68.19716345036038
G0100710,Alabama,Jackson,1910,4860.0,2379.0,51032.0,,0.48950617283950615,10.500411522633744
G0100730,Alabama,Jefferson,1910,3917.0,2430.0,67960.0,,0.6203727342353842,17.350012764871074
