gisjoin,year,lni,n_children
G0100010,1850,63.04410658678455,10
G0100030,1850,56.14552783194526,18
G0100050,1850,47.91750665236585,58
G0100070,1850,62.28927971691191,31
G0100090,1850,51.99514668165525,33
G0100130,1850,64.23258059913648,28
G0100150,1850,75.93435294771736,47
G0100170,1850,58.948230632178664,52
G0100190,1850,51.599138031976395,38
G0100230,1850,68.94026373693808,8
G0100250,1850,45.66362492682619,27
G0100310,1850,57.32970037353772,29
G0100350,1850,50.134488189891535,12
G0100370,1850,54.17509439308955,52
G0100390,1850,54.12894653335338,18
G0100450,1850,62.47624144640273,18
G0100470,1850,78.72799862710077,28
G0100490,1850,57.36098042371712,22
G0100570,1850,62.091769885515845,41
G0100590,1850,55.35380199813088,41
G0100630,1850,56.57815688705706,33
G0100670,1850,77.2972057623664,22
G0100710,1850,48.8807943280842,57
G0100730,1850,65.8377498724761,28
G0100770,1850,54.062366589360906,41
G0100790,1850,46.16574703791462,17
G0100830,1850,65.77218618404282,22
G0100850,1850,55.90671128902392,34
G0100870,1850,45.9033125192735,52
G0100890,1850,59.88023794595767,56
G0100910,1850,69.91584020390324,18
G0100930,1850,68.07522515931525,21
G0100950,1850,67.68296932295111,24
G0100970,1850,50.97904580754585,35
G0100990,1850,72.76191859825391,20
G0101010,1850,65.80896631699513,24
G0101030,1850,52.52786198649675,23
G0101050,1850,63.48564051121569,29
G0101070,1850,63.78319833737878,49
G0101090,1850,47.06785301243695,53
G0101110,1850,52.39030231024362,44
G0101130,1850,52.145887469021574,57
G0101150,1850,54.41227037907022,19
G0101170,1850,53.33878569684294,16
G0101190,1850,59.1702702324737,28
G0101210,1850,56.78581659282404,48
G0101230,1850,59.04666541164191,38
G0101250,1850,67.16931309978689,32
G0101270,1850,56.42216398169312,16
G0101290,1850,52.54872837801689,4
G0101310,1850,39.17209120492147,16
G0101330,1850,62.79378785724685,8
G0500010,1850,61.44339192728179,7
G0500070,1850,68.68936076878532,15
G0500110,1850,71.10763795286896,3
G0500150,1850,66.63561739250359,9
G0500170,1850,94.66667838533654,5
G0500190,1850,75.80593446617758,13
G0500290,1850,60.7200323294089,12
G0500330,1850,70.44876824052221,29
G0500350,1850,46.62139288747153,11
G0500390,1850,88.35546721305685,21
G0500410,1850,61.84364047456607,2
G0500430,1850,58.80218512329792,7
G0500470,1850,98.12571505484892,1
G0500490,1850,36.898896617715494,4
G0500550,1850,59.02005343939647,11
G0500570,1850,69.89746866125718,21
G0500590,1850,70.45834224130174,8
G0500630,1850,72.25431001801766,23
G0500650,1850,55.35038065618609,21
G0500670,1850,43.03110667433525,23
G0500690,1850,53.099766238703594,9
G0500710,1850,72.1686294586107,21
G0500730,1850,76.579285685791,10
G0500750,1850,76.02711999828477,22
G0500870,1850,46.21858028437414,8
G0500890,1850,68.59044727086973,17
G0500930,1850,51.18499867099306,5
G0500950,1850,64.47940856525686,5
G0500970,1850,59.22403830560511,7
G0501010,1850,79.61486634962797,2
G0501030,1850,59.109235716923074,19
G0501050,1850,52.22042373004481,6
G0501070,1850,48.79714838918427,7
G0501090,1850,80.84873531513347,2
G0501110,1850,58.250448301655915,6
G0501130,1850,61.89648655956656,6
G0501150,1850,67.45750230940355,7
G0501170,1850,66.43698273258885,3
G0501190,1850,63.214071740609995,12
G0501210,1850,63.91172562778837,7
G0501230,1850,68.65356347471604,13
G0501250,1850,59.34560770408887,6
G0501270,1850,52.92498469439602,11
G0501290,1850,66.24392438774434,7
G0501330,1850,50.633372430070274,13
G0501390,1850,65.58856930864816,26
G0501410,1850,56.2126791224161,7
G0501430,1850,46.93878834045779,26
G0501450,1850,51.81736682225293,9
G0501490,1850,64.45470035592116,12
G0600090,1850,98.61830742659758,1
G0600170,1850,98.30392089541988,1
G0600370,1850,98.50023310136142,9
G0600530,1850,99.18935772188732,1
G0600790,1850,99.22739173480298,5
G0600830,1850,100.0,4
G0600970,1850,67.00908136172191,2
G0601010,1850,76.5816668844991,3
G0900010,1850,66.1332610908796,131
G0900030,1850,67.09868360034233,142
G0900050,1850,59.322608672435706,63
G0900070,1850,60.90424127402656,54
G0900090,1850,69.01426852391965,122
G0900110,1850,62.96125463520763,71
G0900130,1850,65.99655177001816,43
G0900150,1850,73.12691783778976,60
G1000010,1850,60.61248244755057,44
G1000030,1850,67.33040256405822,97
G1000050,1850,72.0590673939847,66
G1100010,1850,77.88081058971945,120
G1200010,1850,78.94728229883863,6
G1200090,1850,77.09194779517306,2
G1200130,1850,86.99590926085182,4
G1200230,1850,75.72127445784085,10
G1200310,1850,54.255475496711966,3
G1200330,1850,77.35648100261754,13
G1200370,1850,88.75498256103639,1
G1200390,1850,56.41318212652287,14
G1200470,1850,84.70360476349529,3
G1200570,1850,60.561840909890215,3
G1200590,1850,79.34253168513834,2
G1200630,1850,61.7002793988155,11
G1200650,1850,84.78741178604314,21
G1200730,1850,54.21070901168996,4
G1200790,1850,72.56168724233643,10
G1200830,1850,65.96844779673368,10
G1200870,1850,54.95726944075611,2
G1200890,1850,63.30512401838945,7
G1201090,1850,76.8388543858042,5
G1201130,1850,67.44622503059085,2
G1201290,1850,69.878704950297,11
G1201310,1850,49.25130232663368,3
G1201330,1850,63.03630495268932,10
G1300010,1850,57.72883866606419,4
G1300070,1850,56.61485130214584,13
G1300090,1850,62.725677631437584,17
G1300150,1850,42.431761041536575,44
G1300210,1850,56.05362718567291,21
G1300290,1850,70.6635193217641,6
G1300310,1850,47.25418185260954,12
G1300330,1850,66.28435759147233,24
G1300350,1850,77.81428042915279,3
G1300390,1850,60.79268841032912,4
G1300410,1850,77.71106430571155,15
G1300450,1850,56.5118114889876,32
G1300510,1850,53.253095001183425,27
G1300550,1850,59.085753211562064,16
G1300570,1850,63.72870754748541,38
G1300590,1850,49.43568274293412,13
G1300670,1850,65.0397892811706,39
G1300730,1850,48.88176121682781,5
G1300770,1850,64.44701032436977,39
G1300790,1850,79.08800578276508,20
G1300830,1850,61.92619041687948,6
G1300870,1850,64.3168820046367,14
G1300890,1850,59.551287256062245,29
G1300930,1850,68.64946289137998,21
G1300990,1850,57.03613807844433,12
G1301030,1850,52.99596530202359,12
G1301050,1850,83.99768520715942,18
G1301070,1850,54.22278137622689,4
G1301130,1850,54.62108911779233,36
G1301150,1850,51.88889567878133,20
G1301170,1850,60.4847445210693,33
G1301190,1850,55.1093848385345,27
G1301230,1850,68.337944102726,38
G1301270,1850,72.62894257293576,4
G1301290,1850,64.78708072931559,29
G1301330,1850,50.28934601863449,16
G1301350,1850,57.15126580965415,24
G1301370,1850,77.43410633710124,23
G1301390,1850,83.80874625854746,25
G1301410,1850,56.53842411138549,11
G1301450,1850,65.45944975124375,31
G1301490,1850,68.22230758728082,15
G1301510,1850,86.41913656640865,47
G1301530,1850,51.37279744873663,24
