gisjoin,state,county,year,religious_diversity_index,source,rdi_zscore
G0100010,Alabama,Autauga,1850,0.5776095186587344,churches_proxy,-0.0914977885164548
G0100030,Alabama,Baldwin,1850,0.6399999999999999,churches_proxy,0.2121895791901217
G0100050,Alabama,Barbour,1850,0.5975510204081633,churches_proxy,0.0055680145389013
G0100055,Alabama,Benton,1850,0.5344,churches_proxy,-0.3018212977960696
G0100070,Alabama,Bibb,1850,0.5876951331496787,churches_proxy,-0.0424057852074123
G0100090,Alabama,Blount,1850,0.5562130177514792,churches_proxy,-0.1956458396128004
G0100130,Alabama,Butler,1850,0.6666666666666667,churches_proxy,0.3419903057017871
G0100170,Alabama,Chambers,1850,0.5734681737061273,churches_proxy,-0.111655897900848
G0100190,Alabama,Cherokee,1850,0.515,churches_proxy,-0.3962513263333054
G0100230,Alabama,Choctaw,1850,0.486111111111111,churches_proxy,-0.5368687800542759
G0100250,Alabama,Clarke,1850,0.54421768707483,churches_proxy,-0.2540334384844279
G0100310,Alabama,Coffee,1850,0.5406427221172022,churches_proxy,-0.2714346778126964
G0100350,Alabama,Conecuh,1850,0.5413223140495869,churches_proxy,-0.2681267455668841
G0100370,Alabama,Coosa,1850,0.5154528352593389,churches_proxy,-0.3940471383713446
G0100390,Alabama,Covington,1850,0.4938271604938271,churches_proxy,-0.4993106994664097
G0100450,Alabama,Dale,1850,0.5493460166468491,churches_proxy,-0.2290711545754527
G0100470,Alabama,Dallas,1850,0.7140740740740741,churches_proxy,0.572747152833635
G0100490,Alabama,DeKalb,1850,0.5413223140495869,churches_proxy,-0.2681267455668841
G0100570,Alabama,Fayette,1850,0.5430839002267573,churches_proxy,-0.2595521768565229
G0100590,Alabama,Franklin,1850,0.5876951331496786,churches_proxy,-0.0424057852074128
G0100630,Alabama,Greene,1850,0.6840816326530612,churches_proxy,0.4267581270971595
G0100655,Alabama,Hancock,1850,,churches_proxy,
G0100670,Alabama,Henry,1850,0.5,churches_proxy,-0.4692642349961168
G0100710,Alabama,Jackson,1850,0.470703125,churches_proxy,-0.6118675722281702
G0100730,Alabama,Jefferson,1850,0.6111111111111112,churches_proxy,0.0715721254691524
G0100770,Alabama,Lauderdale,1850,0.5975510204081633,churches_proxy,0.0055680145389013
G0100790,Alabama,Lawrence,1850,0.6857142857142857,churches_proxy,0.4347051103529758
G0100830,Alabama,Limestone,1850,0.6776406035665296,churches_proxy,0.395406242537863
G0100850,Alabama,Lowndes,1850,0.6172839506172839,churches_proxy,0.1016185899394448
G0100870,Alabama,Macon,1850,0.5943877551020409,churches_proxy,-0.0098292655192424
G0100890,Alabama,Madison,1850,0.6511627906976745,churches_proxy,0.2665247670322145
G0100910,Alabama,Marengo,1850,0.6995884773662552,churches_proxy,0.5022381162100148
G0100930,Alabama,Marion,1850,,churches_proxy,
G0100950,Alabama,Marshall,1850,0.5950413223140496,churches_proxy,-0.0066480093088824
G0100970,Alabama,Mobile,1850,0.84,churches_proxy,1.1856950280276064
G0100990,Alabama,Monroe,1850,0.6863905325443787,churches_proxy,0.4379967602222485
G0101010,Alabama,Montgomery,1850,0.62,churches_proxy,0.1148390343063737
G0101030,Alabama,Morgan,1850,0.626953125,churches_proxy,0.1486835596761144
G0101050,Alabama,Perry,1850,0.735,churches_proxy,0.6746046673879272
G0101070,Alabama,Pickens,1850,0.6291322314049586,churches_proxy,0.1592904194702335
G0101090,Alabama,Pike,1850,0.4974489795918367,churches_proxy,-0.4816813963333295
G0101110,Alabama,Randolph,1850,0.5449999999999999,churches_proxy,-0.2502255090076832
G0101130,Alabama,Russell,1850,0.5355029585798816,churches_proxy,-0.2964526168592855
G0101150,Alabama,St Clair,1850,0.5414201183431954,churches_proxy,-0.2676506805031462
G0101170,Alabama,Shelby,1850,,churches_proxy,
G0101190,Alabama,Sumter,1850,0.68125,churches_proxy,0.4129750780128535
G0101210,Alabama,Talladega,1850,0.6147578089633319,churches_proxy,0.0893225266161565
G0101230,Alabama,Tallapoosa,1850,0.3816568047337279,churches_proxy,-1.0453029621188883
G0101250,Alabama,Tuscaloosa,1850,0.655749377002492,churches_proxy,0.2888501008287309
G0101270,Alabama,Walker,1850,0.489795918367347,churches_proxy,-0.5189328803449677
G0101290,Alabama,Washington,1850,0.2448979591836735,churches_proxy,-1.7109803687173977
G0101310,Alabama,Wilcox,1850,0.7160493827160495,churches_proxy,0.582362021464129
G0500010,Arkansas,Arkansas,1850,0.1975308641975308,churches_proxy,-1.9415409940404609
G0500030,Arkansas,Ashley,1850,0.48,churches_proxy,-0.5666147798798654
G0500070,Arkansas,Benton,1850,0.0,churches_proxy,-2.903027857089828
G0500110,Arkansas,Bradley,1850,0.4444444444444444,churches_proxy,-0.7396824152287516
G0500150,Arkansas,Carroll,1850,0.5661157024793388,churches_proxy,-0.1474442519093451
G0500170,Arkansas,Chicot,1850,0.0,churches_proxy,-2.903027857089828
G0500190,Arkansas,Clark,1850,0.489795918367347,churches_proxy,-0.5189328803449677
G0500290,Arkansas,Conway,1850,,churches_proxy,
G0500330,Arkansas,Crawford,1850,0.6875,churches_proxy,0.4433971232890247
G0500350,Arkansas,Crittenden,1850,0.5,churches_proxy,-0.4692642349961168
G0500390,Arkansas,Dallas,1850,0.578512396694215,churches_proxy,-0.0871030050805751
G0500410,Arkansas,Desha,1850,,churches_proxy,
G0500430,Arkansas,Drew,1850,0.48,churches_proxy,-0.5666147798798654
G0500470,Arkansas,Franklin,1850,0.6399999999999999,churches_proxy,0.2121895791901217
G0500490,Arkansas,Fulton,1850,,churches_proxy,
G0500550,Arkansas,Greene,1850,0.4081632653061224,churches_proxy,-0.916282043135778
G0500570,Arkansas,Hempstead,1850,0.6419753086419753,churches_proxy,0.2218044478206157
G0500590,Arkansas,Hot Spring,1850,0.5396825396825397,churches_proxy,-0.2761083919728066
G0500630,Arkansas,Independence,1850,0.4800000000000001,churches_proxy,-0.5666147798798649
G0500650,Arkansas,Izard,1850,0.6419753086419753,churches_proxy,0.2218044478206157
G0500670,Arkansas,Jackson,1850,,churches_proxy,
G0500690,Arkansas,Jefferson,1850,0.4600000000000001,churches_proxy,-0.6639653247636134
G0500710,Arkansas,Johnson,1850,0.5,churches_proxy,-0.4692642349961168
G0500730,Arkansas,Lafayette,1850,0.5,churches_proxy,-0.4692642349961168
G0500750,Arkansas,Lawrence,1850,,churches_proxy,
G0500870,Arkansas,Madison,1850,0.7377777777777779,churches_proxy,0.6881255763995594
G0500890,Arkansas,Marion,1850,,churches_proxy,
G0500930,Arkansas,Mississippi,1850,,churches_proxy,
G0500950,Arkansas,Monroe,1850,0.0,churches_proxy,-2.903027857089828
G0500970,Arkansas,Montgomery,1850,0.3199999999999998,churches_proxy,-1.3454191389498535
G0501010,Arkansas,Newton,1850,0.4444444444444444,churches_proxy,-0.7396824152287516
G0501030,Arkansas,Ouachita,1850,0.5864197530864197,churches_proxy,-0.0486137324120189
G0501050,Arkansas,Perry,1850,,churches_proxy,
G0501070,Arkansas,Phillips,1850,0.75,churches_proxy,0.7476175760507386
G0501090,Arkansas,Pike,1850,0.3199999999999998,churches_proxy,-1.3454191389498535
G0501110,Arkansas,Poinsett,1850,0.48,churches_proxy,-0.5666147798798654
G0501130,Arkansas,Polk,1850,,churches_proxy,
G0501150,Arkansas,Pope,1850,0.5950413223140496,churches_proxy,-0.0066480093088824
G0501170,Arkansas,Prairie,1850,0.65625,churches_proxy,0.2912868969081678
G0501190,Arkansas,Pulaski,1850,0.7777777777777778,churches_proxy,0.882826666167056
G0501210,Arkansas,Randolph,1850,0.0,churches_proxy,-2.903027857089828
G0501230,Arkansas,St Francis,1850,0.48,churches_proxy,-0.5666147798798654
G0501250,Arkansas,Saline,1850,0.6243496357960459,churches_proxy,0.1360110050459198
G0501270,Arkansas,Scott,1850,0.0,churches_proxy,-2.903027857089828
G0501290,Arkansas,Searcy,1850,0.4444444444444444,churches_proxy,-0.7396824152287516
G0501330,Arkansas,Sevier,1850,0.6875,churches_proxy,0.4433971232890247
G0501390,Arkansas,Union,1850,0.6428571428571429,churches_proxy,0.2260967998878008
G0501410,Arkansas,Van Buren,1850,,churches_proxy,
G0501430,Arkansas,Washington,1850,0.6428571428571429,churches_proxy,0.2260967998878008
G0501450,Arkansas,White,1850,,churches_proxy,
G0501490,Arkansas,Yell,1850,0.5454545454545455,churches_proxy,-0.2480129966239609
G0600070,California,Butte,1850,,churches_proxy,
G0600090,California,Calaveras,1850,,churches_proxy,
G0600110,California,Colusa,1850,,churches_proxy,
