GISJOIN,STATE,COUNTY,n_soil_types,hhi,shi
G0100010,10,10,12,0.1706845990024275,0.8293154009975725
G0100030,10,30,16,0.1561559341543123,0.8438440658456877
G0100050,10,50,11,0.1660882590428053,0.8339117409571947
G0100070,10,70,8,0.287488380982405,0.7125116190175951
G0100090,10,90,16,0.1435407097014267,0.8564592902985733
G0100110,10,110,10,0.184430083297758,0.815569916702242
G0100130,10,130,10,0.3095278587448316,0.6904721412551684
G0100150,10,150,19,0.2180733342549221,0.7819266657450779
G0100170,10,170,7,0.3895396295103363,0.6104603704896636
G0100190,10,190,22,0.0972699269053347,0.9027300730946652
G0100210,10,210,14,0.1461967568442836,0.8538032431557163
G0100230,10,230,11,0.2414942950066206,0.7585057049933793
G0100250,10,250,14,0.304869424291229,0.695130575708771
G0100270,10,270,9,0.266722954680437,0.733277045319563
G0100290,10,290,15,0.23170559260726,0.76829440739274
G0100310,10,310,9,0.1976844665845237,0.8023155334154763
G0100330,10,330,14,0.1549889632133776,0.8450110367866224
G0100350,10,350,9,0.2331607379926724,0.7668392620073275
G0100370,10,370,10,0.2333739643553553,0.7666260356446447
G0100390,10,390,13,0.2057074642649076,0.7942925357350924
G0100410,10,410,11,0.2690171615260496,0.7309828384739503
G0100430,10,430,8,0.3060430860242495,0.6939569139757504
G0100450,10,450,7,0.3175672056852003,0.6824327943147996
G0100470,10,470,13,0.1537314387594545,0.8462685612405454
G0100490,10,490,6,0.4220579141829447,0.5779420858170553
G0100510,10,510,9,0.1752549004211763,0.8247450995788237
G0100530,10,530,10,0.3140413888066167,0.6859586111933833
G0100550,10,550,17,0.1335267159890435,0.8664732840109565
G0100570,10,570,10,0.3674092424277236,0.6325907575722763
G0100590,10,590,10,0.306485496968636,0.6935145030313641
G0100610,10,610,9,0.174626103856323,0.825373896143677
G0100630,10,630,12,0.204472707163041,0.7955272928369589
G0100650,10,650,6,0.2669862608596248,0.7330137391403752
G0100670,10,670,14,0.1510366995945182,0.8489633004054817
G0100690,10,690,8,0.330365586071309,0.6696344139286909
G0100710,10,710,10,0.1887722381784332,0.8112277618215668
G0100730,10,730,18,0.3307960567439736,0.6692039432560264
G0100750,10,750,11,0.2391738012259668,0.7608261987740331
G0100770,10,770,11,0.2724062669642481,0.7275937330357518
G0100790,10,790,11,0.187338770031423,0.812661229968577
G0100810,10,810,5,0.381977558775191,0.618022441224809
G0100830,10,830,7,0.2847815663482637,0.7152184336517362
G0100850,10,850,11,0.2461140698004037,0.7538859301995963
G0100870,10,870,9,0.2347072188363044,0.7652927811636956
G0100890,10,890,11,0.1554445311847407,0.8445554688152592
G0100910,10,910,12,0.2384905089630364,0.7615094910369635
G0100930,10,930,10,0.2457286373498236,0.7542713626501765
G0100950,10,950,12,0.3063810990473697,0.6936189009526303
G0100970,10,970,14,0.1708957572862083,0.8291042427137917
G0100990,10,990,16,0.1556665400740497,0.8443334599259502
G0101010,10,1010,13,0.1644331692476748,0.8355668307523252
G0101030,10,1030,12,0.1316966460954487,0.8683033539045513
G0101050,10,1050,7,0.3639817701234359,0.6360182298765641
G0101070,10,1070,6,0.2788419166980634,0.7211580833019365
G0101090,10,1090,10,0.1830286778344877,0.8169713221655123
G0101110,10,1110,7,0.3294027475518754,0.6705972524481246
G0101130,10,1130,10,0.2346621134956628,0.7653378865043372
G0101150,10,1150,18,0.1718280988514075,0.8281719011485925
G0101170,10,1170,14,0.1769376818217594,0.8230623181782405
G0101190,10,1190,12,0.1756663733386634,0.8243336266613366
G0101210,10,1210,21,0.21458825231377,0.7854117476862299
G0101230,10,1230,11,0.1848679479771013,0.8151320520228986
G0101250,10,1250,12,0.2390896924505283,0.7609103075494716
G0101270,10,1270,8,0.4261583609672651,0.5738416390327348
G0101290,10,1290,13,0.2237843918080938,0.7762156081919062
G0101310,10,1310,11,0.2925374294194127,0.7074625705805873
G0101330,10,1330,6,0.6459999133480424,0.3540000866519576
G0400010,40,10,65,0.0742571760147163,0.9257428239852836
G0400030,40,30,35,0.1327997248715291,0.8672002751284709
G0400050,40,50,75,0.0469250203354011,0.9530749796645988
G0400070,40,70,40,0.0614787497712558,0.9385212502287442
G0400090,40,90,39,0.0908603715345078,0.909139628465492
G0400110,40,110,29,0.0784747820876101,0.9215252179123898
G0400130,40,130,41,0.0777863929997624,0.9222136070002376
G0400150,40,150,69,0.0429018032949121,0.957098196705088
G0400170,40,170,47,0.0512678619395687,0.9487321380604312
G0400190,40,190,35,0.0643905334359706,0.9356094665640292
G0400210,40,210,40,0.070713917952794,0.929286082047206
G0400230,40,230,13,0.2358691976998219,0.764130802300178
G0400250,40,250,54,0.0466880863134731,0.9533119136865268
G0400270,40,270,27,0.1066528632987443,0.8933471367012558
G0500010,50,10,7,0.3741209097378746,0.6258790902621254
G0500030,50,30,9,0.2347674729333292,0.7652325270666708
G0500050,50,50,9,0.2236756814010069,0.7763243185989931
G0500070,50,70,5,0.4897919246682267,0.5102080753317733
G0500090,50,90,8,0.2911064550598485,0.7088935449401514
G0500110,50,110,5,0.332556359589252,0.667443640410748
G0500130,50,130,5,0.3271486318844699,0.67285136811553
G0500150,50,150,7,0.3220148176511794,0.6779851823488205
G0500170,50,170,10,0.2149180186536255,0.7850819813463745
G0500190,50,190,8,0.1842678862352424,0.8157321137647575
G0500210,50,210,11,0.1955045460459932,0.8044954539540068
G0500230,50,230,7,0.2530291983113045,0.7469708016886955
G0500250,50,250,5,0.2881157259373873,0.7118842740626127
G0500270,50,270,9,0.3069055120223589,0.6930944879776411
G0500290,50,290,11,0.215070289772949,0.7849297102270509
G0500310,50,310,9,0.1808639087770205,0.8191360912229795
G0500330,50,330,8,0.44315812340008,0.55684187659992
G0500350,50,350,6,0.4497164402917799,0.5502835597082201
G0500370,50,370,5,0.376164844225917,0.6238351557740829
G0500390,50,390,6,0.2160425406563071,0.7839574593436929
G0500410,50,410,6,0.2376108384121468,0.7623891615878531
G0500430,50,430,7,0.2100805201119515,0.7899194798880484
G0500450,50,450,7,0.4370892931543197,0.5629107068456802
G0500470,50,470,10,0.223521316933672,0.776478683066328
G0500490,50,490,4,0.6555598071412634,0.3444401928587366
G0500510,50,510,4,0.4763866706334561,0.5236133293665439
G0500530,50,530,4,0.3167419593252272,0.6832580406747728
G0500550,50,550,7,0.2220912715349781,0.7779087284650218
G0500570,50,570,9,0.3199187399667223,0.6800812600332777
G0500590,50,590,7,0.2244659809195757,0.7755340190804243
G0500610,50,610,8,0.3240669475447666,0.6759330524552334
G0500630,50,630,11,0.1391426236843069,0.860857376315693
G0500650,50,650,6,0.3312971644434391,0.6687028355565608
G0500670,50,670,7,0.3115761640353823,0.6884238359646176
G0500690,50,690,9,0.2426036156433835,0.7573963843566165
G0500710,50,710,8,0.3446501843759878,0.6553498156240122
G0500730,50,730,14,0.1557707473282287,0.8442292526717713
G0500750,50,750,7,0.1962339193254841,0.8037660806745159
G0500770,50,770,7,0.3815927473439715,0.6184072526560285
G0500790,50,790,8,0.2302756560888141,0.7697243439111858
G0500810,50,810,10,0.140069442915218,0.8599305570847819
G0500830,50,830,6,0.3773952400335753,0.6226047599664247
G0500850,50,850,10,0.1734076199632945,0.8265923800367054
G0500870,50,870,6,0.5551489891074194,0.4448510108925806
G0500890,50,890,7,0.2069665256237607,0.7930334743762393
G0500910,50,910,9,0.21732261897224,0.78267738102776
G0500930,50,930,7,0.2486280151894764,0.7513719848105236
G0500950,50,950,7,0.2298009439547928,0.7701990560452072
G0500970,50,970,4,0.5465014465910117,0.4534985534089882
G0500990,50,990,6,0.3003310439685231,0.6996689560314768
G0501010,50,1010,4,0.592411388758086,0.407588611241914
G0501030,50,1030,6,0.3053118667189433,0.6946881332810567
G0501050,50,1050,10,0.5066159805828137,0.4933840194171863
G0501070,50,1070,8,0.2512886042772589,0.7487113957227411
G0501090,50,1090,6,0.4455413277960415,0.5544586722039584
G0501110,50,1110,8,0.1787707259239796,0.8212292740760203
G0501130,50,1130,3,0.5331471469454595,0.4668528530545405
G0501150,50,1150,11,0.2913051741589855,0.7086948258410145
G0501170,50,1170,8,0.220398419935042,0.7796015800649579
G0501190,50,1190,12,0.1391478785769377,0.8608521214230622
G0501210,50,1210,8,0.5028551329745603,0.4971448670254397
G0501230,50,1230,5,0.3045657453679347,0.6954342546320653
G0501250,50,1250,8,0.4266532288967494,0.5733467711032505
G0501270,50,1270,7,0.3417658088234738,0.6582341911765262
G0501290,50,1290,6,0.304583599432339,0.695416400567661
G0501310,50,1310,7,0.3486354900506571,0.6513645099493429
G0501330,50,1330,7,0.2362324581010463,0.7637675418989537
G0501350,50,1350,4,0.4887570982752093,0.5112429017247907
G0501370,50,1370,6,0.2260158018909912,0.7739841981090088
G0501390,50,1390,9,0.3673422365053725,0.6326577634946275
G0501410,50,1410,6,0.4227083505120805,0.5772916494879194
G0501430,50,1430,4,0.3771042388028023,0.6228957611971977
G0501450,50,1450,11,0.1429155197879857,0.8570844802120143
G0501470,50,1470,6,0.2405333739845279,0.7594666260154721
G0501490,50,1490,13,0.2004926133487504,0.7995073866512495
G0600010,60,10,22,0.1276742108631282,0.8723257891368718
G0600030,60,30,17,0.1430682235715301,0.8569317764284698
G0600050,60,50,22,0.1212285741045391,0.8787714258954609
G0600070,60,70,32,0.0731697721184364,0.9268302278815636
G0600090,60,90,27,0.1324574287375094,0.8675425712624906
G0600110,60,110,24,0.100900933407584,0.8990990665924159
G0600130,60,130,16,0.204544090814268,0.7954559091857321
G0600150,60,150,19,0.2085272396295675,0.7914727603704325
G0600170,60,170,26,0.0805983103466382,0.9194016896533616
G0600190,60,190,62,0.050989750012833,0.9490102499871668
G0600210,60,210,21,0.1116854339927539,0.8883145660072461
G0600230,60,230,28,0.1201677906489324,0.8798322093510675
G0600250,60,250,21,0.0937271705726341,0.906272829427366
G0600270,60,270,60,0.045928917265346,0.954071082734654
G0600290,60,290,65,0.070589730094682,0.929410269905318
G0600310,60,310,18,0.1416711856739069,0.858328814326093
G0600330,60,330,23,0.1232193460175808,0.8767806539824192
G0600350,60,350,63,0.0502506806716128,0.9497493193283872
G0600370,60,370,37,0.0792771055066808,0.9207228944933192
G0600390,60,390,30,0.0876183403024573,0.9123816596975428
G0600410,60,410,14,0.2396437726054195,0.7603562273945805
G0600430,60,430,27,0.1100203852414594,0.8899796147585405
G0600450,60,450,19,0.1173328309256509,0.8826671690743491
G0600470,60,470,32,0.0578134323721005,0.9421865676278994
G0600490,60,490,59,0.0611872621282523,0.9388127378717476
G0600510,60,510,43,0.0542238964407328,0.9457761035592672
G0600530,60,530,31,0.0887373699139497,0.9112626300860502
G0600550,60,550,21,0.1241725717321797,0.8758274282678202
G0600570,60,570,23,0.0895799199917077,0.9104200800082922
G0600590,60,590,10,0.2098392090085507,0.7901607909914493
G0600610,60,610,29,0.0693131391098469,0.9306868608901532
G0600630,60,630,35,0.0764176801950069,0.9235823198049932
G0600650,60,650,54,0.0549203100701396,0.9450796899298604
G0600670,60,670,22,0.1141068308609776,0.8858931691390224
G0600690,60,690,27,0.2039195300165963,0.7960804699834036
G0600710,60,710,67,0.0637347361723959,0.936265263827604
G0600730,60,730,29,0.0816344861280763,0.9183655138719236
G0600750,60,750,8,0.2853293230428701,0.7146706769571298
G0600770,60,770,31,0.0569144956807833,0.9430855043192168
G0600790,60,790,34,0.0644923010559585,0.9355076989440416
G0600810,60,810,18,0.0904674434124759,0.909532556587524
G0600830,60,830,31,0.1081261223370857,0.8918738776629143
G0600850,60,850,28,0.2291469378868602,0.7708530621131398
G0600870,60,870,14,0.3443703190896215,0.6556296809103784
G0600890,60,890,48,0.0526209025417267,0.9473790974582732
G0600910,60,910,27,0.0730443286175192,0.9269556713824808
G0600930,60,930,67,0.0504556900035861,0.9495443099964138
G0600950,60,950,21,0.0888689295199117,0.9111310704800883
G0600970,60,970,27,0.0848538485398903,0.9151461514601096
G0600990,60,990,34,0.0701154404814091,0.9298845595185908
G0601010,60,1010,10,0.1700167478750674,0.8299832521249326
G0601030,60,1030,26,0.1088826515458816,0.8911173484541184
G0601050,60,1050,41,0.125807267704115,0.8741927322958849
G0601070,60,1070,42,0.0479643918227147,0.9520356081772852
G0601090,60,1090,28,0.0739974900685354,0.9260025099314646
G0601110,60,1110,29,0.089614172856877,0.9103858271431228
G0601130,60,1130,18,0.129476031537127,0.8705239684628729
G0601150,60,1150,16,0.152894041796213,0.847105958203787
G0800010,80,10,16,0.2315369616678692,0.7684630383321308
G0800030,80,30,10,0.2163944845698717,0.7836055154301282
G0800050,80,50,23,0.1066224283793994,0.8933775716206006
G0800070,80,70,24,0.127397222011008,0.872602777988992
G0800090,80,90,13,0.3109693039047545,0.6890306960952455
G0800110,80,110,13,0.1910607591825225,0.8089392408174774
G0800130,80,130,15,0.1259511950937008,0.8740488049062992
G0800150,80,150,19,0.1431632496398348,0.8568367503601653
G0800170,80,170,13,0.1358824596747524,0.8641175403252476
G0800190,80,190,5,0.3292557379543401,0.6707442620456598
G0800210,80,210,16,0.1587133608971057,0.8412866391028944
G0800230,80,230,11,0.1499315797144938,0.8500684202855061
G0800250,80,250,11,0.2430154417813743,0.7569845582186256
G0800270,80,270,18,0.1204989181750412,0.8795010818249588
G0800290,80,290,17,0.0975119761638104,0.9024880238361896
G0800310,80,310,6,0.2625800194152688,0.7374199805847312
G0800330,80,330,20,0.098436438704016,0.901563561295984
G0800350,80,350,14,0.1716444716929132,0.8283555283070868
G0800370,80,370,20,0.155902538356026,0.8440974616439739
G0800390,80,390,18,0.1167474082435928,0.8832525917564071
G0800410,80,410,24,0.1452880302249923,0.8547119697750076
G0800430,80,430,18,0.1095551002926602,0.8904448997073398
G0800450,80,450,24,0.0777695191934487,0.9222304808065512
G0800470,80,470,4,0.4805518298630576,0.5194481701369423
G0800490,80,490,11,0.1819913658622256,0.8180086341377744
G0800510,80,510,24,0.0827637541300883,0.9172362458699116
G0800530,80,530,20,0.1068373483134518,0.8931626516865481
G0800550,80,550,22,0.0774816357825945,0.9225183642174056
G0800570,80,570,10,0.1576089286671002,0.8423910713328998
G0800590,80,590,14,0.167866667940253,0.8321333320597469
G0800610,80,610,15,0.1434600162453458,0.8565399837546541
G0800630,80,630,21,0.1185855957717733,0.8814144042282267
G0800650,80,650,7,0.2551440952195904,0.7448559047804095
G0800670,80,670,22,0.0922212936453035,0.9077787063546964
G0800690,80,690,20,0.1157332845783344,0.8842667154216656
G0800710,80,710,19,0.1315739995926155,0.8684260004073845
G0800730,80,730,16,0.1462349539993467,0.8537650460006533
G0800750,80,750,21,0.1055537844292431,0.8944462155707569
G0800770,80,770,35,0.0526127255106061,0.947387274489394
G0800790,80,790,11,0.2893646100880058,0.7106353899119942
G0800810,80,810,29,0.0717654495819345,0.9282345504180656
G0800830,80,830,29,0.1049702244353175,0.8950297755646824
G0800850,80,850,23,0.1130110223687473,0.8869889776312527
G0800870,80,870,13,0.2181549397169525,0.7818450602830475
G0800890,80,890,12,0.389656501422327,0.610343498577673
G0800910,80,910,15,0.1290576809682556,0.8709423190317443
G0800930,80,930,15,0.1374529423122486,0.8625470576877514
G0800950,80,950,6,0.3287293337480477,0.6712706662519523
G0800970,80,970,12,0.2035138792778981,0.7964861207221019
G0800990,80,990,14,0.1860809557019578,0.8139190442980422
G0801010,80,1010,15,0.2177118577849964,0.7822881422150035
G0801030,80,1030,17,0.1593582975885547,0.8406417024114452
G0801050,80,1050,14,0.1736971221820902,0.8263028778179098
G0801070,80,1070,22,0.0843166936885829,0.9156833063114173
G0801090,80,1090,20,0.1332869834491189,0.8667130165508811
G0801110,80,1110,14,0.2918197659538858,0.7081802340461142
G0801130,80,1130,18,0.0950468917187986,0.9049531082812012
G0801150,80,1150,14,0.2673397797882285,0.7326602202117716
G0801170,80,1170,9,0.2753671259421131,0.7246328740578869
G0801190,80,1190,10,0.2152056720843201,0.7847943279156798
G0801210,80,1210,16,0.1120287414920683,0.8879712585079317
G0801230,80,1230,21,0.1361046891520361,0.8638953108479639
G0801250,80,1250,20,0.2145092849893821,0.7854907150106178
G0900010,90,10,10,0.2496774490086123,0.7503225509913877
G0900030,90,30,23,0.0972329486595176,0.9027670513404824
G0900050,90,50,14,0.1633703186793609,0.8366296813206391
G0900070,90,70,15,0.2152031949131485,0.7847968050868515
G0900090,90,90,13,0.1391206542391395,0.8608793457608606
G0900110,90,110,12,0.2567791202031592,0.7432208797968407
G0900130,90,130,14,0.2221080216937983,0.7778919783062017
G0900150,90,150,11,0.3153869089898649,0.6846130910101351
G1000010,100,10,8,0.2530291822528727,0.7469708177471273
G1000030,100,30,13,0.1410229233289793,0.8589770766710206
G1000050,100,50,12,0.233247796657997,0.766752203342003
G1100010,110,10,9,0.3076736747423231,0.6923263252576768
G1200010,120,10,30,0.1553280343617616,0.8446719656382384
G1200030,120,30,9,0.3220019021761622,0.6779980978238378
G1200050,120,50,23,0.145657083276932,0.854342916723068
G1200070,120,70,10,0.3780284170424198,0.6219715829575801
G1200090,120,90,15,0.2064240670212625,0.7935759329787375
G1200110,120,110,15,0.3005946306732413,0.6994053693267587
G1200130,120,130,27,0.1116070578909211,0.8883929421090789
G1200150,120,150,13,0.2311189326702182,0.7688810673297818
G1200170,120,170,13,0.2334024942022724,0.7665975057977276
G1200190,120,190,14,0.1956953715019702,0.8043046284980298
G1200210,120,210,16,0.2424981756931836,0.7575018243068163
G1200230,120,230,18,0.1833645444403186,0.8166354555596813
G1200250,120,250,14,0.1873324821540314,0.8126675178459686
G1200270,120,270,10,0.3929721197399162,0.6070278802600838
G1200290,120,290,16,0.1685209010867302,0.8314790989132698
G1200310,120,310,13,0.1487596317397702,0.8512403682602299
G1200330,120,330,16,0.1545083267362986,0.8454916732637014
G1200350,120,350,12,0.1892140460557224,0.8107859539442775
G1200370,120,370,14,0.1493603575884056,0.8506396424115944
G1200390,120,390,17,0.1857270671055257,0.8142729328944742
G1200410,120,410,15,0.1050027397046373,0.8949972602953626
G1200430,120,430,12,0.2436908238783523,0.7563091761216477
G1200450,120,450,13,0.3081823416638564,0.6918176583361435
G1200470,120,470,13,0.1530017068850566,0.8469982931149433
G1200490,120,490,9,0.2720259610106856,0.7279740389893143
G1200510,120,510,17,0.1640439492180152,0.8359560507819848
G1200530,120,530,13,0.1930919074855182,0.8069080925144818
G1200550,120,550,15,0.1797085334927744,0.8202914665072255
G1200570,120,570,18,0.1251788376522781,0.8748211623477218
G1200590,120,590,14,0.1685736069589824,0.8314263930410175
G1200610,120,610,15,0.1630277804210172,0.8369722195789828
G1200630,120,630,20,0.179103664506212,0.8208963354937879
G1200650,120,650,17,0.181716512535861,0.8182834874641389
G1200670,120,670,11,0.1436345166078428,0.8563654833921571
G1200690,120,690,15,0.2650320584732079,0.734967941526792
G1200710,120,710,10,0.1849934535058325,0.8150065464941675
G1200730,120,730,22,0.1191687004693667,0.8808312995306333
G1200750,120,750,19,0.1408942173395019,0.8591057826604981
G1200770,120,770,17,0.2007291928799964,0.7992708071200036
G1200790,120,790,18,0.1340204503498294,0.8659795496501705
G1200810,120,810,11,0.3382308850645768,0.6617691149354232
G1200830,120,830,18,0.2790510201445992,0.7209489798554007
G1200850,120,850,13,0.2388342360481194,0.7611657639518805
G1200870,120,870,8,0.2004111300668043,0.7995888699331957
G1200890,120,890,13,0.225934631302678,0.7740653686973219
G1200910,120,910,19,0.1945267048977419,0.8054732951022581
G1200930,120,930,12,0.4660898261375487,0.5339101738624513
G1200950,120,950,17,0.1753100004608134,0.8246899995391865
G1200970,120,970,12,0.2559694295391997,0.7440305704608002
G1200990,120,990,22,0.127080570251921,0.872919429748079
G1201010,120,1010,17,0.1533642708557255,0.8466357291442744
G1201030,120,1030,16,0.1555370113250809,0.8444629886749191
G1201050,120,1050,18,0.1375615083336958,0.8624384916663042
G1201070,120,1070,19,0.1059262114006188,0.8940737885993811
G1201090,120,1090,17,0.1880422545824532,0.8119577454175468
G1201110,120,1110,16,0.2846147835646446,0.7153852164353554
G1201130,120,1130,19,0.1341435268086492,0.8658564731913507
G1201150,120,1150,9,0.6452643311233459,0.3547356688766541
G1201170,120,1170,12,0.250182729167805,0.749817270832195
G1201190,120,1190,15,0.1396731145015335,0.8603268854984665
G1201210,120,1210,10,0.2059297807890534,0.7940702192109466
G1201230,120,1230,12,0.2245677537031593,0.7754322462968407
G1201250,120,1250,9,0.5427861479591742,0.4572138520408257
G1201270,120,1270,19,0.1472527259635158,0.8527472740364841
G1201290,120,1290,13,0.1742440052892397,0.8257559947107603
G1201310,120,1310,23,0.1021410189677709,0.897858981032229
G1201330,120,1330,15,0.1804799118006705,0.8195200881993295
G1300010,130,10,8,0.2187721418932724,0.7812278581067276
G1300030,130,30,12,0.2507458475959139,0.7492541524040861
G1300050,130,50,5,0.2930944503130988,0.7069055496869012
G1300070,130,70,7,0.3542351043325265,0.6457648956674735
G1300090,130,90,10,0.1488166099377831,0.8511833900622169
G1300110,130,110,3,0.5362406681901696,0.4637593318098304
G1300130,130,130,2,0.5004734875804696,0.4995265124195304
G1300150,130,150,15,0.1736837947086112,0.8263162052913887
G1300170,130,170,10,0.2921541496738103,0.7078458503261896
G1300190,130,190,9,0.2217696372566632,0.7782303627433368
G1300210,130,210,10,0.1890348347431231,0.8109651652568768
G1300230,130,230,5,0.4182513394229448,0.5817486605770552
G1300250,130,250,8,0.202862836415068,0.797137163584932
G1300270,130,270,8,0.3139692694641336,0.6860307305358664
G1300290,130,290,12,0.1639362378002181,0.836063762199782
G1300310,130,310,13,0.3165565832777282,0.6834434167222718
G1300330,130,330,14,0.244096168780709,0.755903831219291
G1300350,130,350,4,0.6614274261963654,0.3385725738036346
G1300370,130,370,8,0.4199973667822216,0.5800026332177783
G1300390,130,390,13,0.2688675868497004,0.7311324131502996
G1300430,130,430,7,0.2512588696083556,0.7487411303916445
G1300450,130,450,5,0.473982066164324,0.526017933835676
G1300470,130,470,7,0.2412327324253821,0.7587672675746179
G1300490,130,490,13,0.3507372789906925,0.6492627210093074
