gisjoin,state,county,year,wheat_production_bu
G0100010,Alabama,Autauga,1840,7155.0
G0100030,Alabama,Baldwin,1840,27.0
G0100050,Alabama,Barbour,1840,6239.0
G0100055,Alabama,Benton,1840,77976.0
G0100070,Alabama,Bibb,1840,23418.0
G0100090,Alabama,Blount,1840,15014.0
G0100130,Alabama,Butler,1840,3198.0
G0100170,Alabama,Chambers,1840,42651.0
G0100190,Alabama,Cherokee,1840,22004.0
G0100250,Alabama,Clarke,1840,573.0
G0100350,Alabama,Conecuh,1840,1847.0
G0100370,Alabama,Coosa,1840,10050.0
G0100390,Alabama,Covington,1840,772.0
G0100450,Alabama,Dale,1840,1865.0
G0100470,Alabama,Dallas,1840,12388.0
G0100490,Alabama,DeKalb,1840,14965.0
G0100570,Alabama,Fayette,1840,22852.0
G0100590,Alabama,Franklin,1840,34184.0
G0100630,Alabama,Greene,1840,18396.0
G0100670,Alabama,Henry,1840,1715.0
G0100710,Alabama,Jackson,1840,30956.0
G0100730,Alabama,Jefferson,1840,34157.0
G0100770,Alabama,Lauderdale,1840,46303.0
G0100790,Alabama,Lawrence,1840,30978.0
G0100830,Alabama,Limestone,1840,32599.0
G0100850,Alabama,Lowndes,1840,1421.0
G0100870,Alabama,Macon,1840,2316.0
G0100890,Alabama,Madison,1840,85099.0
G0100910,Alabama,Marengo,1840,2785.0
G0100930,Alabama,Marion,1840,17467.0
G0100950,Alabama,Marshall,1840,8996.0
G0100970,Alabama,Mobile,1840,0.0
G0100990,Alabama,Monroe,1840,5335.0
G0101010,Alabama,Montgomery,1840,7907.0
G0101030,Alabama,Morgan,1840,25262.0
G0101050,Alabama,Perry,1840,32694.0
G0101070,Alabama,Pickens,1840,0.0
G0101090,Alabama,Pike,1840,4020.0
G0101110,Alabama,Randolph,1840,13426.0
G0101130,Alabama,Russell,1840,11479.0
G0101150,Alabama,St Clair,1840,21370.0
G0101170,Alabama,Shelby,1840,17023.0
G0101190,Alabama,Sumter,1840,0.0
G0101210,Alabama,Talladega,1840,41106.0
G0101230,Alabama,Tallapoosa,1840,11683.0
G0101250,Alabama,Tuscaloosa,1840,17958.0
G0101270,Alabama,Walker,1840,5587.0
G0101290,Alabama,Washington,1840,386.0
G0101310,Alabama,Wilcox,1840,2450.0
G0500010,Arkansas,Arkansas,1840,81.0
G0500070,Arkansas,Benton,1840,5128.0
G0500150,Arkansas,Carroll,1840,4462.0
G0500170,Arkansas,Chicot,1840,0.0
G0500190,Arkansas,Clark,1840,1050.0
G0500290,Arkansas,Conway,1840,1709.0
G0500330,Arkansas,Crawford,1840,1513.0
G0500350,Arkansas,Crittenden,1840,28.0
G0500410,Arkansas,Desha,1840,347.0
G0500470,Arkansas,Franklin,1840,3548.0
G0500550,Arkansas,Greene,1840,1132.0
G0500570,Arkansas,Hempstead,1840,1777.0
G0500590,Arkansas,Hot Spring,1840,1076.0
G0500630,Arkansas,Independence,1840,9151.0
G0500650,Arkansas,Izard,1840,7764.0
G0500670,Arkansas,Jackson,1840,1754.0
G0500690,Arkansas,Jefferson,1840,407.0
G0500710,Arkansas,Johnson,1840,7023.0
G0500730,Arkansas,Lafayette,1840,0.0
G0500750,Arkansas,Lawrence,1840,11836.0
