gisjoin,year,n_heads,n_farmers,share_farmers_fc
G0101.00,1850,1104,662.0,0.5996376811594203
G0103.00,1850,378,99.0,0.2619047619047619
G01015.0,1850,2163,1636.0,0.7563569116967175
G0107.00,1850,1133,908.0,0.8014121800529568
G01013.0,1850,1196,964.0,0.8060200668896321
G01023.0,1850,740,515.0,0.6959459459459459
G01031.0,1850,888,697.0,0.7849099099099099
G01045.0,1850,894,791.0,0.8847874720357942
G01047.0,1850,1313,661.0,0.5034272658035034
G01049.0,1850,1239,957.0,0.7723970944309927
G01063.0,1850,1701,1014.0,0.5961199294532628
G01067.0,1850,1127,926.0,0.8216503992901508
G01073.0,1850,1126,839.0,0.7451154529307282
G01079.0,1850,1448,793.0,0.5476519337016574
G01087.0,1850,1812,1223.0,0.6749448123620309
G01091.0,1850,1333,841.0,0.6309077269317329
G01093.0,1850,1125,908.0,0.8071111111111111
G01095.0,1850,1315,864.0,0.6570342205323194
G01097.0,1850,2929,216.0,0.0737453055650392
G0101010,1850,1871,1013.0,0.5414216996258685
G0101030,1850,1083,659.0,0.6084949215143121
G0101050,1850,1380,962.0,0.6971014492753623
G0101090,1850,1932,1618.0,0.8374741200828157
G0101130,1850,1393,908.0,0.6518305814788227
G0101170,1850,1165,912.0,0.7828326180257511
G0101190,1850,1356,750.0,0.5530973451327433
G0101210,1850,1888,1185.0,0.6276483050847458
G0101230,1850,2009,1569.0,0.7809855649576904
G0101250,1850,1861,1197.0,0.6432025792584632
G0101270,1850,790,644.0,0.8151898734177215
G0101310,1850,950,646.0,0.68
G0507.00,1850,570,246.0,0.431578947368421
G05011.0,1850,432,353.0,0.8171296296296297
G05017.0,1850,211,109.0,0.5165876777251185
G05033.0,1850,1205,713.0,0.591701244813278
G05039.0,1850,732,492.0,0.6721311475409836
G05049.0,1850,280,240.0,0.8571428571428571
G05057.0,1850,820,607.0,0.7402439024390244
G05059.0,1850,603,402.0,0.6666666666666666
G05065.0,1850,491,372.0,0.7576374745417516
G05071.0,1850,786,596.0,0.7582697201017812
G1003.00,1850,6767,1340.0,0.198019801980198
G1005.00,1850,4170,2396.0,0.5745803357314149
G12013.0,1850,158,0.0,0.0
G12023.0,1850,560,473.0,0.8446428571428571
G12037.0,1850,248,3.0,0.0120967741935483
G12039.0,1850,665,480.0,0.7218045112781954
G12047.0,1850,297,223.0,0.7508417508417509
G12059.0,1850,184,150.0,0.8152173913043478
G12063.0,1850,568,352.0,0.6197183098591549
G12065.0,1850,512,358.0,0.69921875
G12073.0,1850,724,405.0,0.5593922651933702
G12075.0,1850,61,39.0,0.639344262295082
G12087.0,1850,424,5.0,0.0117924528301886
G12089.0,1850,187,138.0,0.7379679144385026
G12095.0,1850,55,23.0,0.4181818181818181
G1201330,1850,271,214.0,0.7896678966789668
G13029.0,1850,210,161.0,0.7666666666666667
G13035.0,1850,631,461.0,0.7305863708399366
G13039.0,1850,412,199.0,0.4830097087378641
G13051.0,1850,1869,151.0,0.0807918673087212
G13055.0,1850,858,569.0,0.6631701631701632
G13057.0,1850,1972,1464.0,0.742393509127789
G13059.0,1850,1004,436.0,0.4342629482071713
G13065.0,1850,74,66.0,0.8918918918918919
G13073.0,1850,743,360.0,0.4845222072678331
G13093.0,1850,952,670.0,0.7037815126050421
G1301050,1850,1161,870.0,0.7493540051679587
G1301070,1850,600,517.0,0.8616666666666667
G1301150,1850,829,410.0,0.4945717732207479
G1301170,1850,1334,1068.0,0.800599700149925
G1301190,1850,1525,1245.0,0.8163934426229508
G1301290,1850,872,583.0,0.6685779816513762
G1301370,1850,1339,750.0,0.5601194921583271
G1301410,1850,778,466.0,0.5989717223650386
G1301490,1850,781,501.0,0.6414852752880922
G1301530,1850,1117,881.0,0.7887197851387645
G17057.0,1850,3916,2481.0,0.6335546475995915
G17059.0,1850,972,479.0,0.492798353909465
G17065.0,1850,1035,595.0,0.5748792270531401
G17069.0,1850,461,292.0,0.6334056399132321
G17073.0,1850,753,441.0,0.5856573705179283
G17081.0,1850,1344,936.0,0.6964285714285714
G17085.0,1850,3298,1171.0,0.3550636749545179
G17087.0,1850,707,619.0,0.8755304101838756
G17089.0,1850,3029,1615.0,0.5331792670848465
G17099.0,1850,3035,1736.0,0.571993410214168
G1701010,1850,1033,693.0,0.6708615682478218
G1701070,1850,828,606.0,0.7318840579710145
G1701110,1850,2609,2070.0,0.7934074357991567
G1701130,1850,1746,1105.0,0.6328751431844215
G1701150,1850,681,489.0,0.7180616740088106
G1701190,1850,3300,1604.0,0.4860606060606061
G1701410,1850,1717,1230.0,0.716365754222481
G1701490,1850,3143,2046.0,0.6509704104358893
G1701550,1850,703,431.0,0.6130867709815079
G1701590,1850,693,545.0,0.7864357864357865
G1701770,1850,2017,1467.0,0.7273177987109569
G18071.0,1850,1936,1423.0,0.7350206611570248
G18073.0,1850,579,464.0,0.8013816925734024
G18079.0,1850,2031,1314.0,0.6469719350073855
G18085.0,1850,1787,1280.0,0.7162842753217683
G18087.0,1850,1436,996.0,0.6935933147632312
G18091.0,1850,2104,1253.0,0.595532319391635
G18093.0,1850,1971,1417.0,0.7189244038559107
G18095.0,1850,2122,1582.0,0.7455230914231856
G18099.0,1850,905,745.0,0.8232044198895028
G1801090,1850,2302,1601.0,0.6954821894005213
G1801190,1850,1972,1477.0,0.7489858012170385
G1801210,1850,2375,1708.0,0.7191578947368421
G1801230,1850,1214,679.0,0.5593080724876441
G1801250,1850,1208,829.0,0.6862582781456954
G1801270,1850,865,572.0,0.661271676300578
G1801290,1850,2235,1464.0,0.6550335570469799
G1801330,1850,3027,2091.0,0.6907829534192269
G1801350,1850,2523,1892.0,0.749900911613159
G1801370,1850,2665,1801.0,0.675797373358349
G1801470,1850,1464,1022.0,0.6980874316939891
G1801490,1850,100,77.0,0.77
G1801550,1850,2260,1440.0,0.6371681415929203
G1801590,1850,626,510.0,0.8146964856230032
G1801630,1850,2040,762.0,0.3735294117647059
G21065.0,1850,925,577.0,0.6237837837837837
G21069.0,1850,1984,1301.0,0.6557459677419355
G21073.0,1850,1383,724.0,0.5234996384671005
G21075.0,1850,593,369.0,0.6222596964586846
G21077.0,1850,753,374.0,0.49667994687915
G21083.0,1850,1675,1308.0,0.7808955223880597
G21087.0,1850,1084,689.0,0.6356088560885609
G21089.0,1850,1501,618.0,0.4117255163224517
G21091.0,1850,551,382.0,0.6932849364791288
G21093.0,1850,1936,1265.0,0.6534090909090909
G21095.0,1850,677,602.0,0.8892171344165436
G21099.0,1850,1237,945.0,0.7639450282942603
G2101010,1850,1313,925.0,0.7044935262757045
G2101030,1850,1410,911.0,0.6460992907801418
G2101070,1850,1702,1379.0,0.8102232667450059
G2101130,1850,1035,582.0,0.5623188405797102
G2101170,1850,2788,618.0,0.221664275466284
G2101210,1850,1079,627.0,0.5810936051899908
G2101230,1850,811,629.0,0.7755856966707768
G2101250,1850,650,534.0,0.8215384615384616
G2101330,1850,411,360.0,0.8759124087591241
G2101350,1850,1208,717.0,0.5935430463576159
G2101370,1850,1096,553.0,0.5045620437956204
G2101410,1850,1877,1229.0,0.6547682472029834
G2101450,1850,804,375.0,0.4664179104477612
G2101510,1850,1820,1344.0,0.7384615384615385
G2101570,1850,858,661.0,0.7703962703962703
G2101630,1850,921,569.0,0.6178067318132465
G2101670,1850,1707,1084.0,0.6350322202694786
G2101710,1850,1236,897.0,0.7257281553398058
G2101730,1850,1067,723.0,0.6776007497656982
G2101750,1850,1189,816.0,0.6862910008410429
G2101790,1850,1559,950.0,0.6093649775497113
G2101890,1850,582,466.0,0.8006872852233677
G2101930,1850,488,389.0,0.7971311475409836
G2101990,1850,2231,1744.0,0.7817122366651725
G2102030,1850,736,482.0,0.654891304347826
G2102070,1850,819,627.0,0.7655677655677655
G2102090,1850,1511,905.0,0.598941098610192
G2102130,1850,945,734.0,0.7767195767195767
G2102150,1850,796,550.0,0.6909547738693468
G2102170,1850,950,616.0,0.6484210526315789
G2102190,1850,1323,927.0,0.7006802721088435
G23021.0,1850,2613,1954.0,0.7477994642173746
G23029.0,1850,6174,1980.0,0.3206997084548105
G23031.0,1850,10828,5074.0,0.4685999261174732
G2401.00,1850,3712,838.0,0.2257543103448276
