gisjoin,year,n_couples,n_same_bpl,icm_rate
G01013.0,1880,1575,1101.0,0.699047619047619
G01015.0,1880,2121,1141.0,0.5379537953795379
G01023.0,1880,1083,680.0,0.6278855032317636
G01027.0,1880,1860,1102.0,0.5924731182795699
G01031.0,1880,1061,667.0,0.6286522148916117
G01033.0,1880,1327,763.0,0.5749811605124341
G01043.0,1880,715,415.0,0.5804195804195804
G01045.0,1880,1613,971.0,0.601983880967142
G01047.0,1880,952,530.0,0.5567226890756303
G01049.0,1880,1917,997.0,0.5200834637454356
G01051.0,1880,1281,767.0,0.5987509758001561
G01053.0,1880,597,412.0,0.6901172529313233
G01055.0,1880,2030,1052.0,0.5182266009852217
G01063.0,1880,492,329.0,0.6686991869918699
G01067.0,1880,1797,1092.0,0.6076794657762938
G0101130,1880,855,474.0,0.5543859649122806
G0101170,1880,1880,1278.0,0.6797872340425531
G0101190,1880,848,457.0,0.5389150943396226
G0101210,1880,1594,925.0,0.5803011292346298
G0101230,1880,2570,1629.0,0.633852140077821
G0101250,1880,2140,1549.0,0.7238317757009346
G0101270,1880,1455,1027.0,0.7058419243986255
G0101310,1880,921,665.0,0.7220412595005429
G04019.0,1880,359,99.0,0.2757660167130919
G04021.0,1880,104,20.0,0.1923076923076923
G04025.0,1880,344,80.0,0.2325581395348837
G0505.00,1880,909,312.0,0.3432343234323432
G0507.00,1880,3174,1147.0,0.3613736609955891
G05011.0,1880,605,211.0,0.3487603305785124
G05017.0,1880,196,59.0,0.3010204081632653
G05027.0,1880,1287,486.0,0.3776223776223776
G05033.0,1880,1938,674.0,0.347781217750258
G05037.0,1880,465,162.0,0.3483870967741935
G05039.0,1880,645,240.0,0.3720930232558139
G05025.0,1880,908,323.0,0.355726872246696
G05049.0,1880,1050,405.0,0.3857142857142857
G0501430,1880,3452,1341.0,0.3884704519119351
G0601.00,1880,3339,1023.0,0.3063791554357592
G0603.00,1880,18,3.0,0.1666666666666666
G0607.00,1880,1329,395.0,0.2972159518434913
G0609.00,1880,438,130.0,0.2968036529680365
G06027.0,1880,224,99.0,0.4419642857142857
G06029.0,1880,355,107.0,0.3014084507042253
G06037.0,1880,2511,901.0,0.358821186778176
G06041.0,1880,307,95.0,0.3094462540716612
G06043.0,1880,175,39.0,0.2228571428571428
G06047.0,1880,327,90.0,0.2752293577981651
G06049.0,1880,550,192.0,0.3490909090909091
G06053.0,1880,726,246.0,0.3388429752066115
G06057.0,1880,816,223.0,0.2732843137254901
G06063.0,1880,346,152.0,0.4393063583815029
G08041.0,1880,895,332.0,0.370949720670391
G08043.0,1880,424,138.0,0.3254716981132075
G08047.0,1880,244,62.0,0.2540983606557377
G08049.0,1880,14,4.0,0.2857142857142857
G08051.0,1880,170,51.0,0.3
G08059.0,1880,599,194.0,0.3238731218697829
G08067.0,1880,128,35.0,0.2734375
G08069.0,1880,485,165.0,0.3402061855670103
G08091.0,1880,128,38.0,0.296875
G0801050,1880,204,102.0,0.5
G0801070,1880,6,1.0,0.1666666666666666
G0801230,1880,561,227.0,0.4046345811051693
G0905.00,1880,6800,4814.0,0.7079411764705882
G0909.00,1880,13372,9039.0,0.6759647023631469
G1003.00,1880,6217,3421.0,0.5502654013189642
G1207.00,1880,710,427.0,0.6014084507042253
G12013.0,1880,172,67.0,0.3895348837209302
G12023.0,1880,733,399.0,0.5443383356070941
G12037.0,1880,109,43.0,0.3944954128440367
G12039.0,1880,568,298.0,0.5246478873239436
G12047.0,1880,628,358.0,0.5700636942675159
G12059.0,1880,309,132.0,0.4271844660194174
G12063.0,1880,832,381.0,0.4579326923076923
G12065.0,1880,462,227.0,0.4913419913419913
G12073.0,1880,373,179.0,0.4798927613941018
G12075.0,1880,517,273.0,0.528046421663443
G12087.0,1880,159,53.0,0.3333333333333333
G12089.0,1880,364,199.0,0.5467032967032966
G12095.0,1880,788,415.0,0.5266497461928934
G1201210,1880,640,294.0,0.459375
G1201230,1880,322,201.0,0.6242236024844721
G1201330,1880,441,211.0,0.4784580498866213
G13011.0,1880,924,764.0,0.8268398268398268
G1301170,1880,1498,1120.0,0.7476635514018691
G1301190,1880,1384,1021.0,0.7377167630057804
G1301250,1880,407,391.0,0.9606879606879608
G1301290,1880,1458,920.0,0.6310013717421125
G1301370,1880,1149,843.0,0.7336814621409922
G1301410,1880,691,643.0,0.9305354558610708
G1301430,1880,955,735.0,0.7696335078534031
G1301490,1880,883,689.0,0.7802944507361268
G1301530,1880,888,720.0,0.8108108108108109
G1301590,1880,700,656.0,0.9371428571428572
G1301670,1880,542,514.0,0.948339483394834
G1301750,1880,912,865.0,0.9484649122807016
G1301770,1880,256,205.0,0.80078125
G1301790,1880,471,398.0,0.8450106157112527
G1301810,1880,339,276.0,0.8141592920353983
G1301930,1880,651,518.0,0.7956989247311828
G1301970,1880,633,553.0,0.8736176935229067
G1301990,1880,1174,983.0,0.8373083475298126
G1302010,1880,363,331.0,0.9118457300275482
