gisjoin,year,n_married,n_divorced,n_elderly,n_elderly_nonrel,mean_nchild,divorce_ratio,elderly_alone_share
G05071.0,1850,0.0,0.0,63.0,2.0,3.291348600508906,,0.0317460317460317
G05073.0,1850,0.0,0.0,18.0,0.0,2.8427299703264093,,0.0
G05093.0,1850,0.0,0.0,16.0,1.0,2.557620817843866,,0.0625
G05065.0,1850,0.0,0.0,19.0,1.0,3.782077393075357,,0.0526315789473684
G05097.0,1850,0.0,0.0,13.0,0.0,3.5772870662460567,,0.0
G0501030,1850,0.0,0.0,50.0,6.0,3.2078395624430263,,0.12
G0501050,1850,0.0,0.0,9.0,1.0,3.2781456953642385,,0.1111111111111111
G0501130,1850,0.0,0.0,14.0,1.0,3.814207650273224,,0.0714285714285714
G0501170,1850,0.0,0.0,13.0,1.0,2.9501557632398754,,0.0769230769230769
G0501190,1850,0.0,0.0,47.0,5.0,2.5394021739130435,,0.1063829787234042
G0501250,1850,0.0,0.0,32.0,3.0,3.0959119496855347,,0.09375
G0501270,1850,0.0,0.0,29.0,1.0,3.378698224852071,,0.0344827586206896
G0501430,1850,0.0,0.0,117.0,1.0,3.76048329779673,,0.0085470085470085
G0607.00,1850,0.0,0.0,7.0,0.0,0.0855855855855855,,0.0
G0609.00,1850,0.0,0.0,24.0,15.0,0.0416204217536071,,0.625
G06037.0,1850,0.0,0.0,32.0,2.0,2.6942528735632183,,0.0625
G06041.0,1850,0.0,0.0,0.0,0.0,1.8333333333333333,,
G06043.0,1850,0.0,0.0,3.0,2.0,0.1403225806451613,,0.6666666666666666
G06053.0,1850,0.0,0.0,5.0,2.0,1.984313725490196,,0.4
G06083.0,1850,0.0,0.0,10.0,2.0,3.56687898089172,,0.2
G06087.0,1850,0.0,0.0,4.0,1.0,2.4683544303797467,,0.25
G06077.0,1850,0.0,0.0,4.0,2.0,0.2116244411326378,,0.5
G06095.0,1850,0.0,0.0,4.0,1.0,0.3617021276595745,,0.25
G0601010,1850,0.0,0.0,5.0,3.0,0.1041482789055604,,0.6
G0601130,1850,0.0,0.0,1.0,1.0,0.4552238805970149,,1.0
G0601150,1850,0.0,0.0,4.0,2.0,0.1168032786885246,,0.5
